,unique_id,0
0,20467,4
1,37331,9
2,23669,8
3,35079,6
4,43653,1
5,40986,6
6,27952,5
7,23484,4
8,28810,6
9,37657,7
10,19412,9
11,44368,1
12,30847,1
13,21503,4
14,1590,0
15,18996,9
16,46582,0
17,37786,3
18,24102,1
19,5802,6
20,32621,0
21,44727,2
22,43035,6
23,19198,4
24,2876,1
25,28829,6
26,26536,9
27,19466,2
28,42716,1
29,21702,1
30,10607,4
31,12436,1
32,20320,6
33,4965,7
34,57904,2
35,33649,3
36,47768,5
37,2389,2
38,27454,1
39,11662,8
40,4052,8
41,53661,9
42,56591,7
43,28327,4
44,36018,3
45,41261,6
46,8166,1
47,14014,8
48,37993,6
49,45539,0
50,32162,0
51,46307,5
52,49401,6
53,1936,1
54,58505,5
55,3470,2
56,12254,2
57,20112,9
58,39529,4
59,38314,5
60,49147,3
61,4029,1
62,18782,5
63,318,2
64,136,3
65,19917,1
66,33269,6
67,17583,5
68,52111,3
69,47798,6
70,57866,7
71,27673,2
72,12724,7
73,33413,2
74,54285,3
75,28993,0
76,41117,0
77,54236,1
78,18202,4
79,18045,6
80,46848,3
81,4225,1
82,18617,4
83,59313,0
84,26477,2
85,35147,5
86,23825,5
87,44390,5
88,46612,5
89,41753,3
90,25825,1
91,7175,1
92,23070,7
93,9345,8
94,38517,7
95,27128,9
96,32591,8
97,39144,8
98,52971,2
99,5998,6
100,49524,6
101,32365,1
102,45758,3
103,19140,9
104,37781,9
105,35987,8
106,40547,8
107,20727,0
108,55031,1
109,32540,1
110,400,2
111,14455,7
112,25897,7
113,24701,9
114,51618,0
115,34199,1
116,7254,0
117,13906,3
118,21104,8
119,38219,6
120,51676,6
121,6817,4
122,45031,3
123,3922,5
124,34092,3
125,53965,4
126,55411,1
127,42728,9
128,46091,5
129,9903,1
130,48123,4
131,46711,4
132,58885,7
133,45310,7
134,32316,9
135,21139,5
136,6904,3
137,46237,8
138,9501,8
139,38684,1
140,54720,1
141,43784,1
142,19600,8
143,5669,9
144,35854,9
145,54254,1
146,13627,2
147,38288,2
148,59841,6
149,48001,7
150,25184,4
151,40752,3
152,13952,2
153,2626,2
154,39255,4
155,55850,9
156,17600,2
157,35653,2
158,45541,1
159,14124,2
160,58472,2
161,38234,5
162,41987,0
163,26711,3
164,29012,9
165,6696,7
166,27860,2
167,30515,3
168,8619,8
169,44071,9
170,23451,7
171,57018,9
172,591,2
173,42155,8
174,6345,9
175,18975,3
176,52028,0
177,702,0
178,15956,8
179,39119,0
180,48971,5
181,7084,1
182,15688,2
183,7009,4
184,13327,8
185,23391,8
186,17314,0
187,8952,2
188,30208,9
189,35109,1
190,41715,1
191,43265,0
192,52811,1
193,4597,0
194,3518,7
195,48472,8
196,8360,3
197,17432,2
198,32773,1
199,26675,5
200,24410,8
201,125,8
202,38285,5
203,35983,8
204,35894,9
205,58760,3
206,1,0
207,34345,0
208,2178,6
209,52219,8
210,51151,2
211,38121,9
212,7490,6
213,11779,0
214,59843,7
215,25679,5
216,58629,6
217,42086,9
218,35700,0
219,40843,0
220,55137,2
221,45052,5
222,7032,5
223,8169,3
224,38898,4
225,30088,0
226,10085,1
227,55322,5
228,2076,3
229,26775,0
230,35351,7
231,56331,4
232,34792,1
233,23635,9
234,37332,3
235,16127,4
236,32007,0
237,5587,6
238,23848,8
239,20048,7
240,6965,7
241,30654,8
242,53850,4
243,47732,4
244,1674,9
245,42903,9
246,10729,6
247,51494,5
248,13380,7
249,12587,2
250,17865,4
251,58589,7
252,59434,4
253,57792,7
254,12386,5
255,40694,1
256,3173,9
257,36153,5
258,21471,9
259,4745,8
260,20478,0
261,12208,7
262,10705,0
263,54022,7
264,54349,0
265,27851,8
266,42575,8
267,13245,6
268,16899,4
269,965,0
270,59884,8
271,49514,4
272,6428,3
273,58933,8
274,29933,8
275,41619,3
276,45206,2
277,42719,1
278,51381,3
279,41196,9
280,21153,3
281,46730,8
282,3940,7
283,2388,8
284,27025,1
285,28987,8
286,42502,1
287,45543,2
288,22152,0
289,16565,1
290,15477,3
291,22890,9
292,36540,4
293,35900,1
294,23280,1
295,56792,9
296,41986,1
297,2877,2
298,49737,0
299,21043,7
300,32682,0
301,24026,8
302,29245,1
303,30095,9
304,53103,1
305,21971,0
306,22022,7
307,29360,8
308,31990,1
309,45577,0
310,33259,1
311,42876,7
312,3398,9
313,20941,3
314,41702,2
315,41513,3
316,53482,3
317,27123,1
318,24024,0
319,12381,5
320,53091,3
321,25222,3
322,41528,4
323,56679,7
324,41869,6
325,32851,4
326,56428,8
327,18437,9
328,29603,1
329,13466,5
330,22601,0
331,21990,1
332,26523,8
333,4739,5
334,3906,0
335,14232,6
336,10052,3
337,47210,4
338,57073,0
339,18064,0
340,23486,4
341,45484,2
342,53160,1
343,13867,7
344,10961,5
345,37196,1
346,8148,8
347,10851,6
348,59004,2
349,21970,0
350,21711,8
351,13256,5
352,23940,0
353,26899,2
354,1921,3
355,38946,0
356,17266,2
357,35322,6
358,36002,6
359,16255,6
360,15259,4
361,35511,3
362,57215,7
363,12683,8
364,51957,2
365,31542,7
366,58808,5
367,46270,8
368,41862,1
369,34227,9
370,10906,9
371,24084,4
372,24101,8
373,33434,6
374,16057,2
375,28177,6
376,14281,9
377,16366,3
378,34741,6
379,18469,7
380,58159,9
381,14987,8
382,19952,4
383,34042,8
384,20617,4
385,9639,3
386,585,4
387,14382,8
388,15675,0
389,12654,4
390,47545,1
391,18253,0
392,10081,2
393,1539,2
394,12447,2
395,8537,3
396,33170,7
397,15893,5
398,17985,6
399,45066,0
400,11393,5
401,44602,6
402,32111,6
403,3302,9
404,28424,9
405,3693,0
406,34390,3
407,32126,4
408,34380,6
409,59088,7
410,6310,9
411,13900,7
412,54935,8
413,31354,2
414,32880,0
415,48706,6
416,32124,4
417,23158,5
418,16026,8
419,26839,9
420,7712,8
421,24525,0
422,21305,3
423,14744,9
424,50676,2
425,26519,8
426,6278,7
427,55423,4
428,37480,7
429,45955,1
430,14954,7
431,19956,6
432,42274,5
433,56642,4
434,53979,8
435,37570,2
436,2646,5
437,55197,4
438,36306,9
439,20599,4
440,15216,3
441,14148,0
442,57327,5
443,29297,7
444,49354,0
445,58303,6
446,30156,0
447,8405,3
448,54441,7
449,15609,9
450,27561,7
451,8122,3
452,29984,7
453,1390,2
454,5437,7
455,52033,8
456,25065,0
457,4671,9
458,51028,4
459,6806,8
460,9280,6
461,50023,1
462,35029,5
463,46605,7
464,3901,1
465,13237,5
466,7296,4
467,10160,7
468,41813,9
469,47990,2
470,44571,6
471,37866,9
472,34671,6
473,48520,4
474,18169,3
475,44165,5
476,8466,4
477,45113,6
478,54131,5
479,25200,7
480,47010,9
481,15545,7
482,29639,6
483,39237,1
484,55453,5
485,59251,6
486,15796,2
487,4093,9
488,36725,6
489,44065,1
490,5063,9
491,49767,9
492,42924,9
493,16461,2
494,39452,3
495,18471,0
496,32414,3
497,10658,9
498,4256,3
499,49149,3
500,11498,7
501,41295,9
502,27156,6
503,23584,2
504,1622,9
505,563,2
506,53186,8
507,5413,6
508,40936,2
509,12833,9
510,14926,7
511,54840,2
512,4654,1
513,30832,2
514,15148,1
515,17749,4
516,5113,2
517,48174,3
518,40722,3
519,12924,3
520,22840,6
521,13228,3
522,11599,5
523,20526,2
524,40438,1
525,30576,6
526,29906,2
527,15174,3
528,3524,6
