,0
0,2
1,9
2,4
3,8
4,2
5,0
6,9
7,9
8,0
9,6
10,3
11,0
12,2
13,2
14,3
15,7
16,1
17,0
18,7
19,9
20,2
21,2
22,0
23,8
24,7
25,9
26,3
27,4
28,5
29,1
30,1
31,4
32,7
33,3
34,3
35,2
36,0
37,4
38,8
39,2
40,5
41,4
42,6
43,1
44,8
45,9
46,9
47,1
48,6
49,6
50,3
51,3
52,3
53,4
54,1
55,9
56,9
57,9
58,8
59,3
60,2
61,6
62,8
63,3
64,4
65,8
66,4
67,2
68,1
69,2
70,5
71,2
72,2
73,3
74,2
75,2
76,5
77,9
78,4
79,0
80,2
81,7
82,1
83,2
84,7
85,3
86,5
87,6
88,7
89,1
90,3
91,5
92,2
93,1
94,9
95,1
96,6
97,6
98,4
99,2
100,7
101,3
102,1
103,0
104,1
105,4
106,8
107,7
108,3
109,5
110,0
111,1
112,6
113,1
114,6
115,5
116,5
117,6
118,8
119,4
120,4
121,8
122,3
123,7
124,2
125,8
126,2
127,8
128,5
129,7
130,8
131,1
132,3
133,1
134,2
135,0
136,3
137,6
138,4
139,2
140,4
141,1
142,9
143,8
144,3
145,3
146,3
147,3
148,5
149,8
150,8
151,1
152,4
153,8
154,5
155,4
156,3
157,6
158,5
159,5
160,6
161,8
162,0
163,6
164,2
165,5
166,6
167,3
168,2
169,1
170,8
171,4
172,4
173,8
174,0
175,7
176,8
177,6
178,4
179,7
180,8
181,1
182,7
183,0
184,6
185,4
186,0
187,6
188,8
189,4
190,2
191,7
192,3
193,4
194,0
195,4
196,3
197,3
198,2
199,7
200,0
201,0
202,5
203,2
204,1
205,4
206,6
207,2
208,5
209,2
210,7
211,9
212,8
213,8
214,3
215,4
216,5
217,4
218,9
219,9
220,5
221,8
222,4
223,9
224,0
225,4
226,9
227,8
228,2
229,3
230,0
231,3
232,1
233,5
234,2
235,3
236,8
237,9
238,1
239,4
240,3
241,1
242,7
243,6
244,5
245,0
246,7
247,8
248,9
249,2
250,7
251,7
252,5
253,5
254,7
255,3
256,9
257,2
258,7
259,2
260,4
261,1
262,5
263,8
264,0
265,7
266,6
267,7
268,0
269,7
270,7
271,7
272,1
273,7
274,2
275,2
276,7
277,4
278,0
279,6
280,7
281,5
282,9
283,6
284,9
285,0
286,3
287,7
288,2
289,7
290,4
291,0
292,9
293,3
294,8
295,9
296,8
297,9
298,6
299,3
300,0
301,3
302,4
303,5
304,1
305,5
306,4
307,2
308,9
309,5
310,9
311,7
312,8
313,8
314,7
315,5
316,7
317,1
318,9
319,7
320,4
321,0
322,6
323,8
324,0
325,6
326,3
327,2
328,5
329,4
330,3
331,7
332,2
333,4
334,1
335,4
336,0
337,1
338,3
339,2
340,6
341,5
342,6
343,3
344,1
345,0
346,8
347,6
348,2
349,7
350,4
351,6
352,0
353,8
354,8
355,6
356,2
357,1
358,3
359,6
360,6
361,7
362,4
363,4
364,9
365,3
366,6
367,6
368,2
369,9
370,0
371,1
372,8
373,1
374,0
375,9
376,5
377,1
378,8
379,2
380,1
381,4
382,0
383,3
384,0
385,2
386,3
387,7
388,1
389,5
390,1
391,7
392,2
393,0
394,0
395,9
396,0
397,2
398,7
399,1
400,7
401,3
402,7
403,9
404,9
405,8
406,2
407,0
408,1
409,3
410,0
411,4
412,6
413,5
414,2
415,3
416,1
417,4
418,9
419,8
420,8
421,0
422,2
423,0
424,2
425,3
426,0
427,6
428,4
429,9
430,9
431,4
432,7
433,8
434,5
435,2
436,5
437,7
438,3
439,3
440,0
441,7
442,9
443,0
444,3
445,1
446,1
447,5
448,9
449,4
450,3
451,1
452,4
453,8
454,6
455,2
456,5
457,3
458,2
459,1
460,8
461,3
462,7
463,1
464,1
465,2
466,9
467,6
468,0
469,4
470,5
471,8
472,2
473,8
474,0
475,4
476,2
477,2
478,2
479,9
480,5
481,2
482,2
483,9
484,5
485,8
486,0
487,1
488,6
489,2
490,0
491,1
492,0
493,5
494,9
495,3
496,8
497,9
498,5
499,3
500,2
501,6
502,1
503,2
504,6
505,4
506,7
507,5
508,6
509,9
510,8
511,6
512,4
513,7
514,2
515,7
516,0
517,6
518,4
519,8
520,4
521,8
522,3
523,9
524,3
525,7
526,0
527,9
528,6
529,3
530,9
531,5
532,7
533,9
534,6
535,5
536,9
537,9
538,9
539,5
540,4
541,0
542,6
543,6
544,2
545,8
546,1
547,7
548,6
549,1
550,5
551,7
552,3
553,3
554,9
555,3
556,8
557,7
558,8
559,5
560,9
561,3
562,5
563,9
564,1
565,5
566,7
567,5
568,7
569,1
570,3
571,6
572,3
573,0
574,5
575,5
576,1
577,8
578,1
579,9
580,8
581,7
582,6
583,5
584,8
585,7
586,2
587,8
588,1
589,8
590,6
591,2
592,7
593,6
594,4
595,6
596,8
597,6
598,5
599,5
600,0
601,5
602,7
603,9
604,1
605,7
606,9
607,1
608,6
609,3
610,6
611,1
612,5
613,5
614,8
615,5
616,1
617,1
618,1
619,6
620,5
621,4
622,9
623,5
624,1
625,5
626,0
627,4
628,1
629,5
630,3
631,6
632,1
633,3
634,0
635,2
636,9
637,1
638,7
639,3
640,4
641,8
642,1
643,8
644,3
645,3
646,8
647,7
648,7
649,3
650,2
651,1
652,3
653,3
654,7
655,4
656,8
657,1
658,2
659,9
660,9
661,1
662,9
663,7
664,1
665,4
666,9
667,4
668,7
669,5
670,7
671,1
672,3
673,2
674,9
675,2
676,7
677,9
678,4
679,6
680,9
681,0
682,7
683,6
684,2
685,3
686,9
687,1
688,4
689,3
690,5
691,1
692,2
693,0
694,6
695,4
696,4
697,4
698,0
699,0
700,8
701,5
702,0
703,2
704,7
705,5
706,9
707,3
708,3
709,8
710,0
711,6
712,0
713,3
714,4
715,3
716,4
717,6
718,4
719,9
720,2
721,8
722,4
723,1
724,2
725,5
726,7
727,9
728,7
729,8
730,5
731,8
732,6
733,2
734,4
735,1
736,1
737,1
738,6
739,1
740,7
741,0
742,3
743,2
744,5
745,1
746,1
747,4
748,8
749,3
750,6
751,0
752,4
753,4
754,1
755,5
756,8
757,6
758,9
759,8
760,0
761,4
762,7
763,3
764,7
765,0
766,4
767,8
768,8
769,5
770,1
771,0
772,4
773,2
774,7
775,5
776,6
777,3
778,7
779,9
780,6
781,3
782,7
783,9
784,6
785,7
786,4
787,7
788,2
789,2
790,0
791,5
792,4
793,8
794,7
795,2
796,4
797,0
798,7
799,8
800,8
801,7
802,5
803,7
804,3
805,3
806,4
807,7
808,5
809,1
810,4
811,0
812,7
813,5
814,9
815,1
816,8
817,1
818,6
819,1
820,9
821,9
822,2
823,7
824,6
825,9
826,6
827,1
828,2
829,7
830,9
831,6
832,3
833,7
834,6
835,1
836,3
837,3
838,0
839,1
840,4
841,0
842,4
843,6
844,8
845,7
846,9
847,9
848,7
849,2
850,2
851,2
852,0
853,0
854,5
855,0
856,1
857,5
858,8
859,1
860,0
861,1
862,8
863,8
864,0
865,0
866,6
867,5
868,2
869,8
870,8
871,3
872,9
873,1
874,6
875,5
876,4
877,3
878,9
879,9
880,5
881,6
882,0
883,1
884,4
885,0
886,0
887,1
888,9
889,4
890,9
891,8
892,0
893,9
894,0
895,4
896,6
897,2
898,1
899,0
900,6
901,0
902,8
903,7
904,4
905,1
906,9
907,1
908,8
909,1
910,5
911,5
912,1
913,9
914,6
915,2
916,0
917,1
918,7
919,8
920,1
921,4
922,7
923,3
924,9
925,2
926,3
927,4
928,9
929,4
930,1
931,0
932,0
933,7
934,3
935,6
936,6
937,1
938,6
939,8
940,0
941,2
942,2
943,1
944,6
945,9
946,7
947,8
948,5
949,1
950,2
951,8
952,6
953,3
954,9
955,8
956,0
957,6
958,0
959,1
960,6
961,1
962,9
963,5
964,1
965,6
966,2
967,7
968,4
969,3
970,9
971,0
972,4
973,0
974,4
975,5
976,9
977,7
978,8
979,9
980,6
981,6
982,6
983,8
984,7
985,6
986,0
987,9
988,3
989,7
990,3
991,0
992,0
993,6
994,5
995,3
