index,y_test,y_pred
1,1,1
2,0,0
3,1,1
4,0,0
5,1,1
6,0,0
7,0,1
8,0,0
9,1,1
10,0,0
11,0,0
12,0,0
13,1,1
14,0,0
15,1,1
16,0,0
17,0,0
18,1,1
19,0,0
20,1,1
21,0,0
22,0,0
23,1,1
24,0,0
25,1,1
26,0,0
27,0,0
28,0,0
29,1,1
30,0,0
31,0,0
32,0,0
33,1,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,1
40,0,0
41,0,0
42,0,0
43,0,0
44,1,1
45,0,0
46,0,0
47,0,0
48,1,1
49,0,0
50,0,0
51,0,0
52,1,1
53,0,0
54,0,0
55,1,1
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,1,1
62,0,1
63,0,0
64,0,0
65,0,0
66,1,1
67,0,0
68,0,0
69,1,1
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,0,0
82,0,0
83,0,0
84,0,0
85,1,1
86,0,0
87,0,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,0
93,1,1
94,0,0
95,1,0
96,0,0
97,0,0
98,1,1
99,0,0
100,1,1
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,1,1
107,1,1
108,0,0
109,0,0
110,0,0
111,1,1
112,0,0
113,1,1
114,0,0
115,0,0
116,0,0
117,1,1
118,1,1
119,1,1
120,0,0
121,0,0
122,0,0
123,1,1
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,1,1
133,0,0
134,0,0
135,1,1
136,0,0
137,0,0
138,0,0
139,0,0
140,1,1
141,1,1
142,0,0
143,0,0
144,1,1
145,0,0
146,1,1
147,0,0
148,1,1
149,0,0
150,0,0
151,0,1
152,1,1
153,0,0
154,1,1
155,0,0
156,1,1
157,0,0
158,1,1
159,1,1
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,1,1
167,1,1
168,0,0
169,0,0
170,0,0
171,0,0
172,1,1
173,0,0
174,1,1
175,0,0
176,0,0
177,0,0
178,0,0
179,1,1
180,0,0
181,0,0
182,0,0
183,0,0
184,1,1
185,0,0
186,0,0
187,0,0
188,1,1
189,0,0
190,0,0
191,0,0
192,1,1
193,1,0
194,1,1
195,1,1
196,0,0
197,0,0
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,1,1
218,0,0
219,0,0
220,0,0
221,0,0
222,1,1
223,0,0
224,0,0
225,1,1
226,0,0
227,0,0
228,0,0
229,1,1
230,0,0
231,0,0
232,1,1
233,0,0
234,0,0
235,1,1
236,0,0
237,0,0
238,1,1
239,0,0
240,0,0
241,1,1
242,0,0
243,0,0
244,1,1
245,0,0
246,1,1
247,0,0
248,1,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,0,0
269,0,0
270,1,1
271,0,0
272,1,1
273,0,0
274,1,1
275,0,0
276,1,1
277,0,0
278,1,1
279,0,0
280,0,1
281,0,0
282,1,1
283,0,0
284,1,1
285,0,0
286,1,1
287,0,0
288,1,1
289,0,0
290,1,1
291,0,0
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,1,1
308,1,1
309,1,1
310,0,0
311,1,1
312,0,0
313,0,0
314,1,1
315,0,0
316,0,0
317,1,1
318,0,0
319,1,1
320,1,0
321,1,1
322,1,1
323,1,1
324,1,1
325,0,0
326,1,1
327,0,0
328,1,1
