index,y_test,y_pred
1,1,1
2,0,1
3,1,1
4,1,1
5,0,0
6,1,1
7,0,0
8,0,0
9,1,1
10,0,0
11,1,1
12,0,0
13,1,1
14,0,0
15,0,0
16,1,1
17,0,0
18,0,0
19,1,1
20,0,0
21,1,1
22,0,0
23,0,0
24,1,1
25,0,0
26,1,0
27,0,0
28,1,1
29,0,0
30,0,0
31,1,1
32,1,1
33,0,0
34,1,1
35,1,1
36,0,0
37,0,0
38,1,1
39,0,0
40,1,0
41,1,1
42,1,1
43,0,0
44,1,1
45,0,0
46,1,1
47,0,0
48,1,1
49,0,0
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,0,0
61,0,0
62,1,1
63,1,1
64,1,1
65,0,0
66,1,1
67,0,0
68,1,1
69,1,1
70,0,0
71,1,1
72,0,0
73,0,0
74,1,1
75,0,0
76,1,1
77,0,0
78,1,1
79,0,0
80,1,0
81,0,0
82,1,1
83,1,1
84,0,0
85,0,1
86,0,0
87,1,1
88,0,0
89,0,0
90,1,0
91,0,0
92,1,1
93,1,1
94,0,0
95,0,0
96,0,0
97,1,1
98,0,0
99,0,0
100,1,1
101,1,1
102,0,0
103,1,1
104,0,0
105,0,0
106,0,0
107,1,1
108,1,1
109,0,0
110,0,0
111,0,0
112,1,1
113,1,1
114,1,1
115,0,0
116,0,0
117,0,0
118,0,0
119,1,1
120,0,0
121,1,1
122,0,0
123,1,1
124,1,1
125,1,1
126,0,0
127,1,1
128,0,0
129,0,0
130,1,1
131,1,1
132,0,0
133,0,0
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,0,0
141,0,0
142,1,1
143,1,1
144,0,0
145,0,0
146,0,0
147,1,1
148,1,1
149,0,0
150,1,1
151,0,0
152,1,1
153,0,0
154,1,1
155,0,0
156,1,1
157,1,1
158,0,0
159,0,0
160,0,0
161,1,1
162,1,1
163,1,1
164,0,0
165,0,0
166,1,1
167,0,0
168,1,1
169,1,1
170,0,0
171,0,0
172,0,0
173,1,1
174,1,1
175,0,0
176,0,0
177,1,1
178,1,1
179,1,1
180,0,0
181,1,1
182,0,0
183,0,0
184,1,1
185,0,0
186,0,0
187,1,1
188,0,0
189,0,0
190,1,1
191,0,0
192,1,1
193,1,0
